KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Other Liabilities,129,117,148,253,260,,351,436,421,679,723,932,ABBOTINDIA,Balance_Sheet
Total Liabilities,351,388,453,797,907,,1139,1374,1616,2066,2416,2941,ABBOTINDIA,Balance_Sheet
Fixed Assets,48,49,50,80,109,,98,96,108,110,81,105,ABBOTINDIA,Balance_Sheet
CWIP,3,0,1,0,1,,1,4,3,6,2,1,ABBOTINDIA,Balance_Sheet
Investments,0,0,0,0,0,,0,0,0,0,0,0,ABBOTINDIA,Balance_Sheet
Other Assets,300,339,403,717,798,,1040,1274,1505,1950,2333,2835,ABBOTINDIA,Balance_Sheet
Total Assets,351,388,453,797,907,,1139,1374,1616,2066,2416,2941,ABBOTINDIA,Balance_Sheet
Cash from Operating Activity,87,37,46,24,101,,155,215,249,307,153,499,ABBOTINDIA,Cash_Flow
Cash from Investing Activity,140,-1,-16,56,-59,,-144,-187,-77,-155,-215,-257,ABBOTINDIA,Cash_Flow
Cash from Financing Activity,-81,-23,-27,-42,-42,,-42,-58,-80,-90,-102,-143,ABBOTINDIA,Cash_Flow
Net Cash Flow,146,13,3,38,1,,-31,-30,91,62,-165,99,ABBOTINDIA,Cash_Flow
Sales,,,,,,,,,0,10,1719,318,ADANIGREEN,Income_Statement
Expenses,,,,,,,,,0,30,1697,363,ADANIGREEN,Income_Statement
Operating Profit,,,,,,,,,0,-20,21,-45,ADANIGREEN,Income_Statement
OPM %,,,,,,,,,,-203%,1%,-14%,ADANIGREEN,Income_Statement
Other Income,,,,,,,,,0,8,67,303,ADANIGREEN,Income_Statement
Interest,,,,,,,,,1,27,131,288,ADANIGREEN,Income_Statement
Depreciation,,,,,,,,,0,10,9,8,ADANIGREEN,Income_Statement
Profit before tax,,,,,,,,,-1,-49,-52,-39,ADANIGREEN,Income_Statement
Tax %,,,,,,,,,0%,0%,11%,11%,ADANIGREEN,Income_Statement
Net Profit,,,,,,,,,-1,-49,-46,-35,ADANIGREEN,Income_Statement
EPS in Rs,,,,,,,,,-0.06,-0.39,-0.34,-0.22,ADANIGREEN,Income_Statement
Dividend Payout %,,,,,,,,,0%,0%,0%,0%,ADANIGREEN,Income_Statement
Share Capital,,,,,,,,,160,1274,1564,1564,ADANIGREEN,Balance_Sheet
Reserves,,,,,,,,,-1,-50,-120,-155,ADANIGREEN,Balance_Sheet
Borrowings,,,,,,,,,65,549,3487,2363,ADANIGREEN,Balance_Sheet
Other Liabilities,,,,,,,,,52,8,396,1640,ADANIGREEN,Balance_Sheet
Total Liabilities,,,,,,,,,276,1781,5327,5412,ADANIGREEN,Balance_Sheet
Fixed Assets,,,,,,,,,87,78,69,62,ADANIGREEN,Balance_Sheet
CWIP,,,,,,,,,0,1,0,1,ADANIGREEN,Balance_Sheet
Investments,,,,,,,,,165,1354,1530,2030,ADANIGREEN,Balance_Sheet
Other Assets,,,,,,,,,24,349,3728,3319,ADANIGREEN,Balance_Sheet
Total Assets,,,,,,,,,276,1781,5327,5412,ADANIGREEN,Balance_Sheet
Cash from Operating Activity,,,,,,,,,0,-24,-663,534,ADANIGREEN,Cash_Flow
Cash from Investing Activity,,,,,,,,,-224,-1541,-2242,185,ADANIGREEN,Cash_Flow
Cash from Financing Activity,,,,,,,,,225,1571,2937,-649,ADANIGREEN,Cash_Flow
Net Cash Flow,,,,,,,,,0,6,31,71,ADANIGREEN,Cash_Flow
Sales,,1135,1393,1885,2482,3361,4350,3909,4619,4879,6534,5336,ADANIPORTS,Income_Statement
Expenses,,395,454,575,770,891,1612,1302,1312,1332,2050,1578,ADANIPORTS,Income_Statement
Operating Profit,,740,939,1310,1712,2470,2738,2607,3307,3547,4484,3758,ADANIPORTS,Income_Statement
OPM %,,65%,67%,69%,69%,74%,63%,67%,72%,73%,69%,70%,ADANIPORTS,Income_Statement
Other Income,,146,172,120,40,203,682,738,1173,1285,1335,2247,ADANIPORTS,Income_Statement
Interest,,234,182,145,209,442,754,709,854,998,1519,1867,ADANIPORTS,Income_Statement
Depreciation,,137,168,208,274,342,456,489,519,541,471,474,ADANIPORTS,Income_Statement
Profit before tax,,514,760,1077,1270,1889,2210,2148,3106,3293,3829,3664,ADANIPORTS,Income_Statement
Tax %,,10%,8%,8%,7%,7%,9%,-2%,5%,6%,37%,28%,ADANIPORTS,Income_Statement
Net Profit,,461,701,986,1177,1754,2016,2183,2964,3101,2408,2638,ADANIPORTS,Income_Statement
EPS in Rs,,2.3,3.5,4.92,5.88,8.76,9.74,10.55,14.31,14.97,11.63,12.74,ADANIPORTS,Income_Statement
Dividend Payout %,,26%,23%,18%,17%,11%,10%,10%,8%,9%,17%,2%,ADANIPORTS,Income_Statement
Share Capital,,403,403,403,403,403,417,417,414,414,672,680,ADANIPORTS,Balance_Sheet
Reserves,,2542,3085,3891,4818,6300,8919,10786,12986,16285,17703,19912,ADANIPORTS,Balance_Sheet
Borrowings,,2313,3218,2710,6173,8365,8957,11765,15508,20207,20027,24894,ADANIPORTS,Balance_Sheet
Other Liabilities,,1239,1336,1508,1785,3189,2614,2842,2221,2342,2689,2204,ADANIPORTS,Balance_Sheet
Total Liabilities,,6495,8039,8509,13177,18255,20904,25807,31129,39248,40834,47424,ADANIPORTS,Balance_Sheet
Fixed Assets,,3251,4210,5306,5805,8782,8537,8462,8524,8390,7957,9074,ADANIPORTS,Balance_Sheet
CWIP,,1233,1395,1077,2447,1132,661,663,857,1458,1627,775,ADANIPORTS,Balance_Sheet
Investments,,432,721,715,1838,1327,1786,4965,5313,10410,10542,13957,ADANIPORTS,Balance_Sheet
Other Assets,,1579,1714,1412,3087,7014,9919,11717,16436,18990,20708,23619,ADANIPORTS,Balance_Sheet
Total Assets,,6495,8039,8509,13177,18255,20904,25807,31129,39248,40834,47424,ADANIPORTS,Balance_Sheet
Cash from Operating Activity,,762,1035,1259,1287,1370,1602,1990,1713,2313,2411,3214,ADANIPORTS,Cash_Flow
Cash from Investing Activity,,-521,-1764,-484,-3819,-2446,-2314,-3556,-2954,-4181,-550,-2403,ADANIPORTS,Cash_Flow
Cash from Financing Activity,,-54,671,-914,2681,1417,250,1917,1498,1717,-1926,2555,ADANIPORTS,Cash_Flow
Net Cash Flow,,187,-58,-139,149,341,-462,351,257,-151,-64,3367,ADANIPORTS,Cash_Flow
Sales,,,,,,,0,23,274,810,835,833,ADANITRANS,Income_Statement
Expenses,,,,,,,0,23,208,785,841,844,ADANITRANS,Income_Statement
Operating Profit,,,,,,,0,0,66,25,-5,-11,ADANITRANS,Income_Statement
OPM %,,,,,,,,1%,24%,3%,-1%,-1%,ADANITRANS,Income_Statement
Other Income,,,,,,,0,1,147,799,775,799,ADANITRANS,Income_Statement
Interest,,,,,,,0,19,270,819,794,733,ADANITRANS,Income_Statement
Depreciation,,,,,,,0,0,0,0,0,0,ADANITRANS,Income_Statement
Profit before tax,,,,,,,0,-18,-57,5,-25,54,ADANITRANS,Income_Statement
Tax %,,,,,,,,0%,0%,21%,0%,21%,ADANITRANS,Income_Statement
Net Profit,,,,,,,0,-18,-57,4,-25,42,ADANITRANS,Income_Statement
EPS in Rs,,,,,,,0,-0.16,-0.51,0.04,-0.22,0.39,ADANITRANS,Income_Statement
Dividend Payout %,,,,,,,,0%,0%,0%,0%,0%,ADANITRANS,Income_Statement
Share Capital,,,,,,,0,1090,1100,1100,1100,1100,ADANITRANS,Balance_Sheet
Reserves,,,,,,,0,-18,1149,1021,904,651,ADANITRANS,Balance_Sheet
Borrowings,,,,,,,0,2627,5304,7976,7797,7154,ADANITRANS,Balance_Sheet
Other Liabilities,,,,,,,0,12,68,683,2446,3906,ADANITRANS,Balance_Sheet
Total Liabilities,,,,,,,0,3711,7621,10779,12247,12811,ADANITRANS,Balance_Sheet
Fixed Assets,,,,,,,0,0,1,1,1,1,ADANITRANS,Balance_Sheet
CWIP,,,,,,,0,0,0,0,0,0,ADANITRANS,Balance_Sheet
Investments,,,,,,,0,3683,3686,3815,3783,6958,ADANITRANS,Balance_Sheet
Other Assets,,,,,,,0,28,3934,6964,8463,5852,ADANITRANS,Balance_Sheet
Total Assets,,,,,,,0,3711,7621,10779,12247,12811,ADANITRANS,Balance_Sheet
Cash from Operating Activity,,,,,,,0,-11,57,-15,50,23,ADANITRANS,Cash_Flow
Cash from Investing Activity,,,,,,,0,-3683,-3747,-2311,-246,-266,ADANITRANS,Cash_Flow
Cash from Financing Activity,,,,,,,0,3694,3691,2325,703,-234,ADANITRANS,Cash_Flow
Net Cash Flow,,,,,,,0,0,2,0,506,-477,ADANITRANS,Cash_Flow
Sales,,1158,1344,1630,1924,2291,2660,3072,3911,4548,5281,5714,ALKEM,Income_Statement
Expenses,,1013,1136,1319,1518,1862,2262,2727,3180,3668,4308,4667,ALKEM,Income_Statement
Operating Profit,,146,208,311,406,429,398,346,731,880,973,1048,ALKEM,Income_Statement
OPM %,,13%,15%,19%,21%,19%,15%,11%,19%,19%,18%,18%,ALKEM,Income_Statement
Other Income,,59,78,111,135,168,165,182,240,115,101,66,ALKEM,Income_Statement
Interest,,15,20,37,53,79,84,73,59,24,32,28,ALKEM,Income_Statement
Depreciation,,21,21,27,28,36,43,60,74,76,108,141,ALKEM,Income_Statement
Profit before tax,,169,245,357,460,482,436,395,839,894,934,944,ALKEM,Income_Statement
Tax %,,6%,3%,10%,6%,3%,-1%,7%,17%,1%,23%,15%,ALKEM,Income_Statement
Net Profit,,158,238,322,432,467,440,368,700,883,716,800,ALKEM,Income_Statement
EPS in Rs,,132.3,199.11,269.26,361.15,390.4,368.17,30.75,58.56,73.86,59.87,66.9,ALKEM,Income_Statement
Dividend Payout %,,9%,6%,6%,6%,5%,5%,13%,22%,20%,22%,24%,ALKEM,Income_Statement
Share Capital,,12,12,12,12,12,12,24,24,24,24,24,ALKEM,Balance_Sheet
Reserves,,973,1193,1448,1852,2291,2703,3077,3576,4369,4861,5441,ALKEM,Balance_Sheet
Borrowings,,403,70,728,824,1229,947,1103,380,368,548,503,ALKEM,Balance_Sheet
Other Liabilities,,207,284,383,478,479,540,657,843,1137,1381,1324,ALKEM,Balance_Sheet
Total Liabilities,,1595,1559,2571,3166,4011,4202,4861,4822,5898,6814,7292,ALKEM,Balance_Sheet
Fixed Assets,,390,392,484,665,832,909,870,875,1126,1471,1606,ALKEM,Balance_Sheet
CWIP,,6,8,0,0,0,0,96,147,218,299,382,ALKEM,Balance_Sheet
Investments,,26,20,53,372,579,940,1071,1158,1518,1544,1696,ALKEM,Balance_Sheet
Other Assets,,1173,1139,2033,2129,2600,2352,2824,2644,3037,3500,3609,ALKEM,Balance_Sheet
Total Assets,,1595,1559,2571,3166,4011,4202,4861,4822,5898,6814,7292,ALKEM,Balance_Sheet
Cash from Operating Activity,,245,-84,198,152,97,264,242,630,499,318,745,ALKEM,Cash_Flow
Cash from Investing Activity,,185,42,-723,-279,-349,119,-260,311,-362,-273,-313,ALKEM,Cash_Flow
Cash from Financing Activity,,-2,-24,625,19,274,-395,26,-958,-125,-60,-276,ALKEM,Cash_Flow
Net Cash Flow,,428,-66,99,-108,21,-12,8,-17,13,-15,156,ALKEM,Cash_Flow
Sales,6085,6989,7297,8472,9685,9129,9934,9417,9197,10457,11357,11668,AMBUJACEM,Income_Statement
Expenses,4378,5122,5519,6519,7285,7462,8005,7885,7504,8517,9466,9519,AMBUJACEM,Income_Statement
Operating Profit,1707,1867,1778,1953,2399,1667,1928,1531,1692,1940,1891,2149,AMBUJACEM,Income_Statement
OPM %,28%,27%,24%,23%,25%,18%,19%,16%,18%,19%,17%,18%,AMBUJACEM,Income_Statement
Other Income,555,256,320,248,143,402,429,358,510,359,246,427,AMBUJACEM,Income_Statement
Interest,32,22,49,53,76,65,64,92,74,107,82,84,AMBUJACEM,Income_Statement
Depreciation,260,297,387,445,565,490,510,626,849,573,548,544,AMBUJACEM,Income_Statement
Profit before tax,1970,1803,1662,1703,1902,1514,1783,1172,1279,1619,1506,1948,AMBUJACEM,Income_Statement
Tax %,29%,32%,24%,28%,32%,14%,16%,31%,27%,23%,1%,22%,AMBUJACEM,Income_Statement
Net Profit,1402,1218,1264,1229,1297,1295,1496,808,932,1250,1487,1529,AMBUJACEM,Income_Statement
EPS in Rs,9.21,8,8.26,8.01,8.41,8.37,9.66,5.2,4.69,6.29,7.49,7.7,AMBUJACEM,Income_Statement
Dividend Payout %,24%,30%,31%,40%,43%,43%,52%,54%,60%,57%,20%,19%,AMBUJACEM,Income_Statement
Share Capital,305,305,306,307,308,309,310,310,397,397,397,397,AMBUJACEM,Balance_Sheet
Reserves,5368,6166,7023,7763,8497,9176,9793,9996,18960,19576,20615,21808,AMBUJACEM,Balance_Sheet
Borrowings,289,166,65,49,43,40,29,33,29,24,40,41,AMBUJACEM,Balance_Sheet
Other Liabilities,1855,2227,2926,3423,3465,3439,3768,3822,3967,4630,4134,4744,AMBUJACEM,Balance_Sheet
Total Liabilities,7816,8864,10320,11542,12313,12965,13901,14162,23353,24627,25187,26991,AMBUJACEM,Balance_Sheet
Fixed Assets,3193,3440,5628,6186,5862,6063,6227,6092,5942,5722,5664,5812,AMBUJACEM,Balance_Sheet
CWIP,1947,2714,931,487,520,695,690,414,320,398,610,1109,AMBUJACEM,Balance_Sheet
Investments,332,727,626,864,1656,1788,2173,2226,11845,11845,11814,11789,AMBUJACEM,Balance_Sheet
Other Assets,2344,1982,3136,4004,4275,4419,4811,5430,5246,6662,7099,8281,AMBUJACEM,Balance_Sheet
Total Assets,7816,8864,10320,11542,12313,12965,13901,14162,23353,24627,25187,26991,AMBUJACEM,Balance_Sheet
Cash from Operating Activity,968,2126,1876,1533,1857,1287,1675,1553,1416,1836,572,2484,AMBUJACEM,Cash_Flow
Cash from Investing Activity,-931,-1194,-527,-448,-393,-522,-460,-83,-3469,-173,-254,-735,AMBUJACEM,Cash_Flow
Cash from Financing Activity,-473,-466,-475,-475,-504,-663,-717,-897,-683,-749,-478,-387,AMBUJACEM,Cash_Flow
Net Cash Flow,-436,466,873,610,960,101,498,573,-2736,915,-160,1362,AMBUJACEM,Cash_Flow
Sales,,4070,4891,6044,7595,8539,9936,11110,11830,12647,14168,16392,ASIANPAINT,Income_Statement
Expenses,,3510,3876,4886,6243,6988,8166,9123,9415,9973,11242,12885,ASIANPAINT,Income_Statement
Operating Profit,,561,1015,1158,1352,1551,1770,1987,2415,2674,2926,3507,ASIANPAINT,Income_Statement
OPM %,,14%,21%,19%,18%,18%,18%,18%,20%,21%,21%,21%,ASIANPAINT,Income_Statement
Other Income,,58,169,75,141,126,174,201,249,300,275,285,ASIANPAINT,Income_Statement
Interest,,16,19,16,31,34,29,31,27,22,24,81,ASIANPAINT,Income_Statement
Depreciation,,57,61,94,99,127,212,223,235,295,311,541,ASIANPAINT,Income_Statement
Profit before tax,,546,1105,1122,1363,1516,1703,1934,2403,2657,2866,3170,ASIANPAINT,Income_Statement
Tax %,,34%,30%,31%,30%,31%,31%,31%,32%,32%,34%,33%,ASIANPAINT,Income_Statement
Net Profit,,362,774,775,958,1050,1169,1327,1623,1802,1895,2132,ASIANPAINT,Income_Statement
EPS in Rs,,3.78,8.07,8.08,9.99,10.95,12.19,13.84,16.92,18.78,19.75,22.23,ASIANPAINT,Income_Statement
Dividend Payout %,,46%,33%,40%,40%,42%,43%,44%,44%,55%,44%,47%,ASIANPAINT,Income_Statement
Share Capital,,96,96,96,96,96,96,96,96,96,96,96,ASIANPAINT,Balance_Sheet
Reserves,,999,1461,1879,2392,2926,3505,4134,5830,6999,7702,8747,ASIANPAINT,Balance_Sheet
Borrowings,,75,69,74,168,54,48,40,36,39,11,614,ASIANPAINT,Balance_Sheet
Other Liabilities,,1006,1508,1806,2140,2570,3071,3004,2764,3224,3778,4226,ASIANPAINT,Balance_Sheet
Total Liabilities,,2175,3134,3855,4796,5646,6720,7274,8725,10358,11588,13683,ASIANPAINT,Balance_Sheet
Fixed Assets,,623,707,1057,1009,2102,2012,1965,2629,2605,2569,5221,ASIANPAINT,Balance_Sheet
CWIP,,89,381,40,603,53,38,140,93,220,1392,179,ASIANPAINT,Balance_Sheet
Investments,,235,704,548,542,465,1671,1894,2797,2914,2577,2964,ASIANPAINT,Balance_Sheet
Other Assets,,1228,1342,2210,2642,3027,2999,3275,3207,4620,5050,5318,ASIANPAINT,Balance_Sheet
Total Assets,,2175,3134,3855,4796,5646,6720,7274,8725,10358,11588,13683,ASIANPAINT,Balance_Sheet
Cash from Operating Activity,,325,848,743,881,1081,1371,1144,1980,1420,2136,2395,ASIANPAINT,Cash_Flow
Cash from Investing Activity,,-214,-242,-410,-592,-440,-618,-292,-863,-584,-1371,-833,ASIANPAINT,Cash_Flow
Cash from Financing Activity,,-222,-239,-320,-297,-591,-560,-728,-704,-956,-1239,-1089,ASIANPAINT,Cash_Flow
Net Cash Flow,,-111,367,13,-8,51,194,124,413,-120,-474,473,ASIANPAINT,Cash_Flow
Sales,,2749,3195,4130,4277,5424,7108,8069,9158,9607,10270,12258,AUROPHARMA,Income_Statement
Expenses,,2500,2497,3173,3704,4466,5187,5816,6705,7215,7600,9838,AUROPHARMA,Income_Statement
Operating Profit,,250,698,957,573,958,1922,2253,2453,2392,2670,2420,AUROPHARMA,Income_Statement
OPM %,,9%,22%,23%,13%,18%,27%,28%,27%,25%,26%,20%,AUROPHARMA,Income_Statement
Other Income,,75,172,29,-300,27,73,65,187,118,81,189,AUROPHARMA,Income_Statement
Interest,,81,63,55,268,250,289,132,229,45,53,231,AUROPHARMA,Income_Statement
Depreciation,,82,95,125,143,171,186,245,263,286,355,413,AUROPHARMA,Income_Statement
Profit before tax,,161,712,805,-138,563,1519,1940,2148,2179,2343,1965,AUROPHARMA,Income_Statement
Tax %,,20%,26%,26%,69%,12%,23%,22%,24%,22%,23%,22%,AUROPHARMA,Income_Statement
Net Profit,,129,526,594,-43,496,1172,1516,1627,1707,1813,1530,AUROPHARMA,Income_Statement
EPS in Rs,,2.39,9.43,10.2,-0.73,8.52,20.11,25.96,27.8,29.13,30.94,26.11,AUROPHARMA,Income_Statement
Dividend Payout %,,19%,5%,10%,-68%,9%,7%,9%,9%,9%,8%,10%,AUROPHARMA,Income_Statement
Share Capital,,27,28,29,29,29,29,29,59,59,59,59,AUROPHARMA,Balance_Sheet
Reserves,,1294,1886,2540,2464,2910,3983,5330,6807,8378,9924,11292,AUROPHARMA,Balance_Sheet
Borrowings,,2115,1945,2318,2794,2782,2925,3285,4165,3054,3719,4520,AUROPHARMA,Balance_Sheet
Other Liabilities,,599,735,954,704,1103,1638,1582,1534,1533,2092,2270,AUROPHARMA,Balance_Sheet
Total Liabilities,,4034,4594,5841,5991,6825,8576,10226,12566,13023,15794,18141,AUROPHARMA,Balance_Sheet
Fixed Assets,,873,1045,1350,1627,2012,1938,2190,2568,3212,3393,4150,AUROPHARMA,Balance_Sheet
CWIP,,286,499,537,558,166,204,227,742,907,1144,789,AUROPHARMA,Balance_Sheet
Investments,,269,371,493,629,708,873,1013,1183,1682,1968,2339,AUROPHARMA,Balance_Sheet
Other Assets,,2606,2678,3461,3177,3938,5561,6796,8072,7222,9289,10863,AUROPHARMA,Balance_Sheet
Total Assets,,4034,4594,5841,5991,6825,8576,10226,12566,13023,15794,18141,AUROPHARMA,Balance_Sheet
Cash from Operating Activity,,5,346,245,504,625,328,590,,2457,922,530,AUROPHARMA,Cash_Flow
Cash from Investing Activity,,-302,-408,-569,-534,-295,-401,-624,,-1542,-991,-1301,AUROPHARMA,Cash_Flow
Cash from Financing Activity,,161,-14,443,-78,-229,-31,35,,-1329,440,599,AUROPHARMA,Cash_Flow
Net Cash Flow,,-136,-75,118,-108,101,-105,1,,-414,371,-171,AUROPHARMA,Cash_Flow
Sales,,593,1035,1582,2203,3335,4681,6434,8575,11881,15009,19916,DMART,Income_Statement
Expenses,,570,978,1486,2068,3124,4345,5981,7919,10917,13672,18274,DMART,Income_Statement
Operating Profit,,23,56,96,135,211,335,452,657,964,1337,1642,DMART,Income_Statement
OPM %,,4%,5%,6%,6%,6%,7%,7%,8%,8%,9%,8%,DMART,Income_Statement
Other Income,,7,10,13,16,17,19,21,20,31,73,51,DMART,Income_Statement
Interest,,6,13,19,26,42,55,72,91,122,59,47,DMART,Income_Statement
Depreciation,,14,22,30,37,46,56,81,97,126,155,199,DMART,Income_Statement
Profit before tax,,11,32,60,87,139,242,321,488,747,1196,1448,DMART,Income_Statement
Tax %,,49%,34%,32%,32%,33%,34%,34%,35%,35%,34%,35%,DMART,Income_Statement
Net Profit,,6,21,41,59,93,160,211,318,483,785,936,DMART,Income_Statement
EPS in Rs,,0.2,0.56,0.82,1.11,1.7,2.92,3.75,5.66,7.73,12.57,15,DMART,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,DMART,Income_Statement
Share Capital,,272,381,506,534,544,547,562,562,624,624,624,DMART,Balance_Sheet
Reserves,,16,37,79,146,242,404,631,950,3213,4019,4970,DMART,Balance_Sheet
Borrowings,,148,183,299,381,525,624,888,1177,1481,439,695,DMART,Balance_Sheet
Other Liabilities,,57,78,117,127,180,217,267,392,484,531,708,DMART,Balance_Sheet
Total Liabilities,,493,679,1000,1187,1490,1791,2348,3082,5802,5612,6998,DMART,Balance_Sheet
Fixed Assets,,371,504,619,779,922,1169,1510,2065,2549,3256,4234,DMART,Balance_Sheet
CWIP,,49,40,114,74,107,78,92,82,153,147,377,DMART,Balance_Sheet
Investments,,2,22,65,24,20,17,17,30,37,181,212,DMART,Balance_Sheet
Other Assets,,70,113,202,310,441,527,730,905,3064,2028,2175,DMART,Balance_Sheet
Total Assets,,493,679,1000,1187,1490,1791,2348,3082,5802,5612,6998,DMART,Balance_Sheet
Cash from Operating Activity,,27,34,47,60,128,206,207,425,449,723,853,DMART,Cash_Flow
Cash from Investing Activity,,-108,-160,-263,-127,-232,-266,-461,-625,-2475,432,-998,DMART,Cash_Flow
Cash from Financing Activity,,82,133,223,95,118,53,238,196,2024,-1122,201,DMART,Cash_Flow
Net Cash Flow,,1,7,6,29,14,-8,-16,-3,-2,34,56,DMART,Cash_Flow
Sales,,8418,11491,16377,19516,19980,20088,21593,22574,21755,25210,30358,BAJAJ-AUTO,Income_Statement
Expenses,,7642,9382,13308,15826,16342,15982,17658,17785,17328,20375,25165,BAJAJ-AUTO,Income_Statement
Operating Profit,,775,2109,3069,3691,3638,4106,3935,4789,4426,4835,5192,BAJAJ-AUTO,Income_Statement
OPM %,,9%,18%,19%,19%,18%,20%,18%,21%,20%,19%,17%,BAJAJ-AUTO,Income_Statement
Other Income,,329,441,1403,503,795,706,423,1067,1218,1264,1781,BAJAJ-AUTO,Income_Statement
Interest,,21,6,2,22,1,0,6,1,1,1,4,BAJAJ-AUTO,Income_Statement
Depreciation,,130,136,123,146,167,180,267,307,307,315,266,BAJAJ-AUTO,Income_Statement
Profit before tax,,953,2408,4348,4026,4266,4632,4085,5547,5336,5783,6703,BAJAJ-AUTO,Income_Statement
Tax %,,31%,29%,23%,25%,29%,30%,31%,29%,28%,30%,30%,BAJAJ-AUTO,Income_Statement
Net Profit,,654,1703,3340,3004,3044,3243,2814,3930,3828,4068,4675,BAJAJ-AUTO,Income_Statement
EPS in Rs,,22.62,58.84,115.42,103.81,105.18,112.08,97.24,135.8,132.27,140.59,161.57,BAJAJ-AUTO,Income_Statement
Dividend Payout %,,49%,34%,35%,43%,43%,45%,51%,40%,42%,43%,37%,BAJAJ-AUTO,Income_Statement
